frameID,eventType,player1Position,player2Position,ballPosition,speed
915,,"[12.2, 46.1, 0.0]","[-10.21, -51.75, 0.0]",,
916,,"[12.0, 46.1, 0.0]","[-10.21, -51.75, 0.0]",,
917,,"[12.0, 46.1, 0.0]","[-10.1, -51.75, 0.0]",,
918,,"[11.8, 46.1, 0.0]","[-9.56, -51.75, 0.0]",,
919,,"[11.6, 46.1, 0.0]","[-9.88, -51.75, 0.0]",,
920,p2nc,"[11.5, 46.1, 0.0]","[-9.88, -51.75, 0.0]","[-4.6, 0, 5.1]",
921,,"[11.3, 46.1, 0.0]","[-9.78, -51.75, 0.0]",,
922,,"[11.2, 46.1, 0.0]","[-9.78, -51.75, 0.0]",,
923,,"[11.0, 46.1, 0.0]","[-9.78, -51.75, 0.0]",,
924,,"[10.9, 46.2, 0.0]","[-9.67, -51.75, 0.0]",,
925,,"[10.8, 46.2, 0.0]","[-9.56, -51.75, 0.0]",,
926,,"[10.8, 46.2, 0.0]","[-9.35, -51.75, 0.0]",,
927,,"[10.7, 46.2, 0.0]","[-9.02, -51.75, 0.0]",,
928,,"[10.7, 46.2, 0.0]","[-8.7, -51.75, 0.0]",,
929,,"[10.6, 46.2, 0.0]","[-8.59, -51.75, 0.0]",,
930,,"[10.6, 46.2, 0.0]","[-8.59, -51.75, 0.0]",,
931,p2bb,"[10.5, 46.2, 0.0]","[-8.48, -51.75, 0.0]","[0.8, 19.0, 0]",65.03851509478856
932,,"[10.5, 46.2, 0.0]","[-8.48, -51.75, 0.0]",,
933,,"[10.5, 46.2, 0.0]","[-8.38, -51.76, 0.0]",,
934,,"[10.4, 46.2, 0.0]","[-8.38, -51.76, 0.0]",,
935,,"[10.3, 46.2, 0.0]","[-8.05, -51.76, 0.0]",,
936,,"[10.2, 46.2, 0.0]","[-8.16, -51.76, 0.0]",,
937,,"[10.2, 46.2, 0.0]","[-8.16, -51.76, 0.0]",,
938,,"[10.2, 46.2, 0.0]","[-8.16, -51.76, 0.0]",,
939,,"[10.2, 46.2, 0.0]","[-8.27, -51.76, 0.0]",,
940,,"[10.2, 46.2, 0.0]","[-8.27, -51.76, 0.0]",,
941,,"[10.2, 46.2, 0.0]","[-8.16, -50.06, 0.0]",,
942,,"[10.2, 46.2, 0.0]","[-8.16, -50.06, 0.0]",,
943,,"[10.2, 46.2, 0.0]","[-8.05, -53.5, 0.0]",,
944,,"[10.2, 46.2, 0.0]","[-7.72, -53.5, 0.0]",,
945,,"[10.2, 46.2, 0.0]","[-7.72, -53.5, 0.0]",,
946,,"[10.3, 46.2, 0.0]","[-7.41, -51.76, 0.0]",,
947,,"[10.2, 46.2, 0.0]","[-7.21, -50.06, 0.0]",,
948,,"[10.2, 46.2, 0.0]","[-7.3, -51.76, 0.0]",,
949,p1cp,"[10.2, 46.2, 0.0]","[-7.3, -51.76, 0.0]","(4.81, 48.9, 3.79)",
950,,"[10.1, 46.2, 0.0]","[-7.32, -50.06, 0.0]",,
951,,"[10.1, 46.2, 0.0]","[-7.21, -50.06, 0.0]",,
952,,"[10.2, 46.2, 0.0]","[-7.12, -48.42, 0.0]",,
953,,"[10.2, 46.2, 0.0]","[-7.32, -50.06, 0.0]",,
954,,"[10.2, 46.2, 0.0]","[-7.32, -50.06, 0.0]",,
955,,"[10.2, 46.2, 0.0]","[-7.12, -48.42, 0.0]",,
956,,"[10.2, 46.2, 0.0]","[-6.91, -48.42, 0.0]",,
957,,"[10.1, 46.2, 0.0]","[-6.81, -48.42, 0.0]",,
958,,"[9.9, 46.2, 0.0]","[-6.81, -48.42, 0.0]",,
959,,"[9.8, 46.2, 0.0]","[-6.81, -48.42, 0.0]",,
960,,"[9.6, 46.2, 0.0]","[-6.81, -48.42, 0.0]",,
961,,"[9.4, 46.2, 0.0]","[-6.89, -50.06, 0.0]",,
962,,"[9.2, 46.2, 0.0]","[-6.79, -50.06, 0.0]",,
963,,"[9.0, 46.2, 0.0]","[-6.85, -53.5, 0.0]",,
964,,"[8.8, 46.2, 0.0]","[-6.83, -55.3, 0.0]",,
965,,"[8.6, 46.2, 0.0]","[-6.57, -50.07, 0.0]",,
966,,"[8.3, 46.2, 0.0]","[-6.39, -48.42, 0.0]",,
967,,"[7.9, 46.2, 0.0]","[-6.39, -48.42, 0.0]",,
968,p1nc,"[7.6, 46.2, 0.0]","[-6.04, -50.07, 0.0]","[0.3, 0, 5.4]",
969,,"[7.5, 46.2, 0.0]","[-5.87, -53.51, 0.0]",,
970,,"[7.5, 46.2, 0.0]","[-5.65, -53.51, 0.0]",,
971,,"[7.5, 46.2, 0.0]","[-5.430000000000001, -53.51, 0.0]",,
972,,"[7.5, 46.2, 0.0]","[-5.3, -50.07, 0.0]",,
973,,"[7.4, 46.2, 0.0]","[-5.09, -50.07, 0.0]",,
974,,"[7.1, 46.2, 0.0]","[-4.61, -48.42, 0.0]",,
975,,"[6.5, 46.2, 0.0]","[-4.45, -50.07, 0.0]",,
976,,"[5.8, 46.2, 0.0]","[-4.09, -48.43, 0.0]",,
977,,"[5.5, 46.3, 0.0]","[-3.53, -46.83, 0.0]",,
978,,"[5.4, 46.3, 0.0]","[-3.39, -45.27, 0.0]",,
979,,"[5.6, 46.3, 0.0]","[-3.94, -46.82, 0.0]",,
980,p1bb,"[5.3, 46.3, 0.0]","[-3.84, -46.82, 0.0]","[-2.4, -31.7, 0]",
